Symbol,shortName,forwardPE,currentRatio,shortRatio,marketCap,sector,industry
LADR,Ladder Capital Corp,9.256,16.787,1.93,1470616320,Real Estate,REIT - Mortgage
LANV,Lanvin Group Holdings Limited,-1.906542,0.534,0.77,239332800,Consumer Cyclical,Luxury Goods
LAR,Lithium Argentina AG,112.328766,0.49,8.89,399779520,Basic Materials,Other Industrial Metals & Mining
LAW,"CS Disco, Inc.",-19.444443,6.108,4.02,317012864,Technology,Software - Application
LAZ,"Lazard, Inc.",12.201971,2.797,6.12,4481873920,Financial Services,Capital Markets
LB,LandBridge Company LLC,43.7651,0.731,5.57,4987475456,Energy,Oil & Gas Equipment & Services
LBRT,Liberty Energy Inc.,14.039371,1.273,4.42,2887105024,Energy,Oil & Gas Equipment & Services
LC,LendingClub Corporation,15.511905,2.928,2.19,1477393536,Financial Services,Banks - Regional
LCII,LCI Industries,15.464024,2.816,6.78,2681445376,Consumer Cyclical,Recreational Vehicles
LDI,"loanDepot, Inc.",8.473684,1.393,2.45,526471616,Financial Services,Mortgage Finance
LDOS,"Leidos Holdings, Inc.",12.135885,1.212,2.5,16634598400,Technology,Information Technology Services
LEA,Lear Corporation,7.0726337,1.319,3.34,5170645504,Consumer Cyclical,Auto Parts
LEG,"Leggett & Platt, Incorporated",8.084746,1.997,3.28,1282176000,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
LEN,Lennar Corporation,7.4702606,6.973,2.28,31870390272,Consumer Cyclical,Residential Construction
LEVI,Levi Strauss & Co,13.135715,1.418,2.35,7280251392,Consumer Cyclical,Apparel Manufacturing
LFT,"Lument Finance Trust, Inc.",7.184211,122.043,0.55,142757440,Real Estate,REIT - Mortgage
LH,Labcorp Holdings Inc.,15.596129,1.443,3.37,20837490688,Healthcare,Diagnostics & Research
LHX,"L3Harris Technologies, Inc.",13.830438,1.077,2.02,37478252544,Industrials,Aerospace & Defense
LICY,Li-Cycle Holdings Corp.,-0.1660734,0.605,0.55,32065702,Industrials,Waste Management
LII,"Lennox International, Inc.",26.282534,1.435,4.15,21844512768,Industrials,Building Products & Equipment
LITB,"LightInTheBox Holding Co., Ltd.",51.5,0.365,3.82,18936138,Consumer Cyclical,Apparel Manufacturing
LLY,Eli Lilly and Company,38.556046,1.154,1.79,784713121792,Healthcare,Drug Manufacturers - General
LMND,"Lemonade, Inc.",-13.31474,1.362,9.47,2386338048,Financial Services,Insurance - Property & Casualty
LMT,Lockheed Martin Corporation,15.678406,1.125,2.15,103739318272,Industrials,Aerospace & Defense
LNC,Lincoln National Corporation,4.86399,4.541,2.67,6396379648,Financial Services,Insurance - Life
LNG,"Cheniere Energy, Inc.",19.554377,1.081,1.78,49465749504,Energy,Oil & Gas Midstream
LNN,Lindsay Corporation,21.154688,3.867,3.5,1471323776,Industrials,Farm & Heavy Construction Machinery
LOAR,Loar Holdings Inc.,102.402985,3.953,5.07,6418883584,Industrials,Aerospace & Defense
LOCL,Local Bounti Corporation,-0.43106797,0.326,4.33,19215588,Consumer Defensive,Farm Products
LOMA,Loma Negra Compania Industrial ,12.896552,1.287,1.55,1579113984,Basic Materials,Building Materials
LOW,"Lowe's Companies, Inc.",18.936659,1.13,3.35,135047331840,Consumer Cyclical,Home Improvement Retail
LPG,Dorian LPG Ltd.,5.7340155,3.968,2.2,959676864,Energy,Oil & Gas Midstream
LPL,"LG Display Co, Ltd AMERICAN DEP",-11.633333,0.638,2.69,3490000128,Technology,Consumer Electronics
LPX,Louisiana-Pacific Corporation,17.979963,2.86,3.01,6879306752,Industrials,Building Products & Equipment
LRN,"Stride, Inc.",18.490358,6.02,4.98,5845696000,Consumer Defensive,Education & Training Services
LSPD,Lightspeed Commerce Inc. Subord,22.672413,6.097,13.38,2018866816,Technology,Software - Application
LTC,"LTC Properties, Inc.",17.661537,11.627,5.17,1558781952,Real Estate,REIT - Healthcare Facilities
LTH,"Life Time Group Holdings, Inc.",32.56701,0.589,3.5,6538276864,Consumer Cyclical,Leisure
LTM,LATAM Airlines Group S.A.,8.488,0.62,0.74,9802780672,Industrials,Airlines
LU,Lufax Holding Ltd,15.499999,24.404,3.21,2686735872,Financial Services,Credit Services
LUCK,LUCKY STRIKE ENTERTAINMENT CORP,30.184399,0.723,21.1,1521488000,Consumer Cyclical,Leisure
LUMN,"Lumen Technologies, Inc.",-7.28125,1.207,6.84,4724307968,Communication Services,Telecom Services
LUV,Southwest Airlines Company,18.748426,0.918,4.18,17667223552,Industrials,Airlines
LVS,Las Vegas Sands Corp.,16.007273,0.74,3.91,31515457536,Consumer Cyclical,Resorts & Casinos
LVWR,"LiveWire Group, Inc.",-7.5161285,3.295,12.49,473572480,Consumer Cyclical,Auto Manufacturers
LW,"Lamb Weston Holdings, Inc.",11.204819,1.347,4.24,7959367168,Consumer Defensive,Packaged Foods
LXFR,Luxfer Holdings PLC,13.495238,2.175,1.03,379540608,Industrials,Specialty Industrial Machinery
LXP,LXP Industrial Trust,-431.50003,1.685,2.1,2559260928,Real Estate,REIT - Industrial
LXU,"LSB Industries, Inc.",13.553572,2.527,4.6,543604160,Basic Materials,Chemicals
LYB,LyondellBasell Industries NV,8.938444,1.829,1.82,24935038976,Basic Materials,Specialty Chemicals
LYV,"Live Nation Entertainment, Inc.",61.73553,0.993,7.6,35013980160,Communication Services,Entertainment
LZB,La-Z-Boy Incorporated,13.299704,1.846,5.83,1850563968,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
LZM,Lifezone Metals Limited,-24.545456,1.088,13.22,436079168,Basic Materials,Other Industrial Metals & Mining
M,Macy's Inc,5.8023257,1.255,2.09,4156210944,Consumer Cyclical,Department Stores
MA,Mastercard Incorporated,34.036022,1.026,1.76,508286369792,Financial Services,Credit Services
MAA,Mid-America Apartment Communiti,38.71566,0.059,4.51,19276703744,Real Estate,REIT - Residential
MAC,Macerich Company (The),-99.1,0.679,8.57,5107078656,Real Estate,REIT - Retail
MAGN,Magnera Corporation,21.227724,2.451,5.38,758976000,Basic Materials,Paper & Paper Products
