Symbol,shortName,forwardPE,currentRatio,shortRatio,marketCap,sector,industry,sentiment,confidence
LII,"Lennox International, Inc.",25.921232,1.433,5.78,21486755840,Industrials,Building Products & Equipment,neutral,0.4241849184036255
LITB,"LightInTheBox Holding Co., Ltd.",64.0,0.328,7.08,23395584,Consumer Cyclical,Apparel Manufacturing,neutral,0.4241849184036255
LLY,Eli Lilly and Company,34.22617,1.372,2.13,696252628992,Healthcare,Drug Manufacturers - General,neutral,0.4241849184036255
LMND,"Lemonade, Inc.",-15.786853,1.291,7.53,2903173120,Financial Services,Insurance - Property & Casualty,neutral,0.4241849184036255
LMT,Lockheed Martin Corporation,15.3770895,1.076,1.47,101274443776,Industrials,Aerospace & Defense,neutral,0.4241849184036255
LNC,Lincoln National Corporation,4.433938,2.303,3.71,5844224512,Financial Services,Insurance - Life,neutral,0.4241849184036255
LNG,"Cheniere Energy, Inc.",20.069849,1.188,2.07,50342977536,Energy,Oil & Gas Midstream,neutral,0.4241849184036255
LNN,Lindsay Corporation,21.182814,3.642,3.84,1472588544,Industrials,Farm & Heavy Construction Machinery,neutral,0.4241849184036255
LOAR,Loar Holdings Inc.,110.67164,5.134,2.63,6937184768,Industrials,Aerospace & Defense,neutral,0.4241849184036255
LOCL,Local Bounti Corporation,-0.51912624,2.033,5.93,58040348,Consumer Defensive,Farm Products,neutral,0.4241849184036255
LOMA,Loma Negra Compania Industrial ,12.367816,0.903,1.0,1276114560,Basic Materials,Building Materials,neutral,0.4241849184036255
LOW,"Lowe's Companies, Inc.",17.76722,1.013,3.16,125762289664,Consumer Cyclical,Home Improvement Retail,neutral,0.4241849184036255
LPG,Dorian LPG Ltd.,7.2749357,3.544,2.67,1213113856,Energy,Oil & Gas Midstream,neutral,0.4241849184036255
LPL,"LG Display Co, Ltd AMERICAN DEP",-11.3,0.643,2.65,3390000128,Technology,Consumer Electronics,neutral,0.4241849184036255
LPX,Louisiana-Pacific Corporation,15.880528,3.029,3.05,6067063296,Industrials,Building Products & Equipment,neutral,0.4241849184036255
LRN,"Stride, Inc.",18.258263,5.613,5.16,5769230848,Consumer Defensive,Education & Training Services,neutral,0.4241849184036255
LSPD,Lightspeed Commerce Inc. Subord,22.181034,5.356,6.81,1772436736,Technology,Software - Application,neutral,0.4241849184036255
LTC,"LTC Properties, Inc.",18.2,12.673,7.72,1630077056,Real Estate,REIT - Healthcare Facilities,neutral,0.4241849184036255
LTH,"Life Time Group Holdings, Inc.",29.783504,0.428,2.53,6338956800,Consumer Cyclical,Leisure,neutral,0.4241849184036255
LTM,LATAM Airlines Group S.A.,11.049334,0.624,2.28,12941974528,Industrials,Airlines,neutral,0.4241849184036255
LU,Lufax Holding Ltd,14.6,24.404,2.05,2537579264,Financial Services,Credit Services,neutral,0.4241849184036255
LUCK,LUCKY STRIKE ENTERTAINMENT CORP,55.631577,0.636,20.76,1481966720,Consumer Cyclical,Leisure,neutral,0.4241849184036255
LUMN,"Lumen Technologies, Inc.",-6.8359375,1.206,6.16,4488356352,Communication Services,Telecom Services,neutral,0.4241849184036255
LUV,Southwest Airlines Company,23.308176,0.772,4.11,21119234048,Industrials,Airlines,neutral,0.4241849184036255
LUXE,LuxExperience B.V.,28.314814,1.854,4.85,1042579200,Consumer Cyclical,Luxury Goods,neutral,0.4241849184036255
LVS,Las Vegas Sands Corp.,17.512728,0.595,3.61,34031202304,Consumer Cyclical,Resorts & Casinos,neutral,0.4241849184036255
LVWR,"LiveWire Group, Inc.",-11.790322,2.854,0.11,744033728,Consumer Cyclical,Auto Manufacturers,neutral,0.4241849184036255
LW,"Lamb Weston Holdings, Inc.",9.8574295,1.354,3.15,6927384576,Consumer Defensive,Packaged Foods,neutral,0.4241849184036255
LXFR,Luxfer Holdings PLC,11.171429,2.02,4.16,319486464,Industrials,Specialty Industrial Machinery,neutral,0.4241849184036255
LXP,LXP Industrial Trust,-412.75,1.539,2.39,2448284672,Real Estate,REIT - Industrial,neutral,0.4241849184036255
LXU,"LSB Industries, Inc.",15.616071,2.505,4.25,628573120,Basic Materials,Chemicals,neutral,0.4241849184036255
LYB,LyondellBasell Industries NV,7.445413,1.827,2.59,20603348992,Basic Materials,Specialty Chemicals,neutral,0.4241849184036255
LYV,"Live Nation Entertainment, Inc.",61.392563,0.961,5.59,34434367488,Communication Services,Entertainment,neutral,0.4241849184036255
LZB,La-Z-Boy Incorporated,11.262612,1.915,7.82,1562493568,Consumer Cyclical,"Furnishings, Fixtures & Appliances",neutral,0.4241849184036255
LZM,Lifezone Metals Limited,-20.0,0.565,12.63,348126240,Basic Materials,Other Industrial Metals & Mining,neutral,0.4241849184036255
M,Macy's Inc,4.901163,1.434,3.07,3433623552,Consumer Cyclical,Department Stores,neutral,0.4241849184036255
MA,Mastercard Incorporated,34.117218,1.111,2.2,507472576512,Financial Services,Credit Services,neutral,0.4241849184036255
MAA,Mid-America Apartment Communiti,36.573494,0.063,4.46,18231508992,Real Estate,REIT - Residential,neutral,0.4241849184036255
MAC,Macerich Company (The),-85.1,0.444,8.0,4510555648,Real Estate,REIT - Retail,neutral,0.4241849184036255
MAGN,Magnera Corporation,13.606218,2.396,4.34,467428000,Basic Materials,Paper & Paper Products,neutral,0.4241849184036255
MAIN,Main Street Capital Corporation,16.528498,2.641,8.67,5680075776,Financial Services,Asset Management,neutral,0.4241849184036255
MAN,ManpowerGroup,8.3766985,1.121,3.58,1996622720,Industrials,Staffing & Employment Services,neutral,0.4241849184036255
MANU,Manchester,-32.916664,0.389,6.66,3033570048,Communication Services,Entertainment,neutral,0.4241849184036255
MAS,Masco Corporation,14.923077,1.745,2.82,13913734144,Industrials,Building Products & Equipment,neutral,0.4241849184036255
MATV,"Mativ Holdings, Inc.",4.445122,2.382,1.8,398273824,Basic Materials,Specialty Chemicals,neutral,0.4241849184036255
MATX,"Matson, Inc.",10.618,0.857,2.76,3466224896,Industrials,Marine Shipping,neutral,0.4241849184036255
MAX,"MediaAlpha, Inc.",14.791665,1.668,5.24,698799744,Communication Services,Internet Content & Information,neutral,0.4241849184036255
MBC,"MasterBrand, Inc.",7.0,1.901,4.63,1454952192,Consumer Cyclical,"Furnishings, Fixtures & Appliances",neutral,0.4241849184036255
